POST_ID,USER_ID,CATEGORY_ID,TITLE,CONTENT,CREATION_DATE,UPDATE_DATE,IS_STICKY,LIKE_COUNT,DISLIKE_COUNT,FAVORITE_COUNT,COMMENT_COUNT,IMAGE_URL
11,3,1,猫传腹，不吃东西快饿死了，喂不进去,"领养一个多月的小橘猫，近来突然不吃东西了，精神越来越差。开始以为是猫毛拉不出来，买了化毛膏猫草益生菌，吃了也没好转。
前天看它更虚弱了，带到宠物医院去，做了一个B超，医生说肚子里面都是腹水，把器官都泡在里面了，而且有轻微的黄疸，体温有点偏低。基本上就确定是猫传腹。
检查费要一千多，打针要连续打两个多月，一支将近300块！我承受不起啊 自己家人生病都不舍得去医院，哪有多的钱给小猫看病。打电话来催我回家，让我不要治了
好心的医生看我想放弃治疗，就说也可以不做这些检查，直接开始打针，如果有好转，开始进食了，肚子变小的话，就更加可以确定是猫传腹。于是买了一支药带回家先打着。
求好心人留言支招，推荐药商，分享经验，非常感谢。",2024-07-15 19:22:17,2024-07-15 19:22:17,0,0,0,0,0,PostImages/fbeunw4jktuuhtvp4ul1d1rj4rpjko2hytaa942bw7pwq8j7uve4nl1c794dqfmz.jpg
12,3,2,猫在家里凭空消失了……,"我妈说早上十点刚给俩猫梳了毛，梳完毛就回屋子休息了，大猫和小猫（图是小猫）自己在客厅玩，但是一点半出来就怎么也找不到小猫了门窗是关着的，阳台有防护网，家里所有柜子抽屉、马桶后面的洞、冰箱里面冰箱上面、沙发下面沙发套里、被子里、洗衣机里洗衣机缝、纸箱子里、猫砂盆里………几乎是把家里都翻了一遍，还用了剪刀大法，找了三个塔luo师都说没有丢就在家里，可是就是找不到猫……距离失踪已经过了六小时……实在没有头绪了…好担心啊……
更新…已经失踪二十五小时了…家里的猫砂猫粮没动，放在门口的猫罐头也没动…昨晚把整栋楼的楼道和消防通道都看了一遍，刚刚家里人又往上几层检查了楼道和消防通道，依旧是毫无收获…问了物业说只有电梯监控，楼道没有监控…现在我们全家都怀疑是不是真的不小心让他跑出去被邻居抱走了（可是我妈妈回忆了好多遍都觉得没有开过门）…已经编辑了寻猫启事打算在小区贴一贴，希望有人可以主动联系吧…",2024-07-15 19:22:18,2024-07-15 19:22:18,0,0,0,0,0,
13,3,3,在线给笨蛋小狗征婚,征婚噜 没什么要求 帅一点就行 颜狗 随我了哈哈哈,2024-07-15 19:22:31,2024-07-15 19:22:31,0,0,0,0,0,PostImages/w82vdes35fhugguobqa0pwsezk23o9fbch2dytczkuxwx9q1up8en9lp69z7rtp2.jpg
14,3,5,这可能是最真实的宠物定位器使用反馈了,"懒狗用了两个月才来写反馈，反复横跳后买了pawfit 因为价格在几家当中算便宜的，终于写出了反馈先说结论 中规中矩 够用！！
实时定位
首先说说我吃下他家安利的实时定位功能。这个功能在app里点击【紧跟】后才会开启。在信号强的情况下基本上几十秒就会刷新一次定位。这点对于丢过狗的我而言非常实用！因为我们之前找狗时得到的信息 翻的监控都是延迟性的，基本上跑过去狗又换位置了。有了实时定位就能更快的找到狗子！这点表扬
电池续航
定位器跟电话手表的相比的优势就是续航久。我一般是出门时才会打开。基本上工作日早晚遛弯加起来1-2小时，偶尔周末出去玩一天，也会开启紧跟模式试试。这样的频率下用了大概半个月电量剩50%。
定位准确性
准确性这点和所有定位器一样中规中矩。在信号强的情况下误差比较小，差不多是肉眼可见的范围。这个范围内基本上就能叫一下狗子的名字或者开启声音就能找到方位了。关于准确性这点，我开始也很难接受，后来发现手机导航软件定位时也常常定位到隔壁楼，便释然了。如果还是比较纠结这点的，我感觉可以配一个airtag类型的定位器，弥补小范围内的准确性。",2024-07-15 19:22:36,2024-07-15 19:22:36,0,0,0,0,0,
15,3,6,2至6月幼猫喂养方法的用量,"2至6个月大的小猫可以吃奶糕或小猫粮。3个月前，小猫吃的奶糕或猫粮需要用羊奶或温水浸泡，这样更容易消化。每天喂它3-4餐。同时，小猫可以开始接种疫苗和驱虫。
3个月左右，小猫吃的食物可以逐渐由软变硬，软猫粮可以慢慢换成硬猫粮，每天喂3次，定期喂猫罐头。
小猫3-6个月龄正处于快速生长期。这个时期需要给小猫提供营养均衡、高蛋白、高热量的优质食物，以保证其快速生长所需的各种营养和能量。",2024-07-15 19:22:19,2024-07-15 19:22:19,0,0,0,0,0,
16,4,1,急!!医院查不出猫咪病因！求大神看下,"猫咪生病半月，就医3次，越来越严重！已经输液2天营养液了，越来越精神萎靡，没有丝毫起色，医院说不出所以然，该查项目都查了，望大神看看到底什么问题？
首次3月31日，因为呕吐几天就医，医生查了血常规，拍片，和查了胰腺炎说没有问题，说可能就是便秘，打了消炎药止吐针回去了。这个时候猫咪精神还很好，能吃能喝。回去后持续天3没有吐，喂了乳果糖帮助排便。
但是3天过后，猫咪又开始吐猫粮等，每天2次，4月7日带猫咪复查，又查了生化两项仍然说没有问题。又打了止吐针等回家。这时候猫咪仍然精神很好，想吃粮食，甚至4月8日上午还特别想吃。
4月8日晚上回家之后猫咪突然发现呕吐一大堆，精神萎靡，躲在桌子底下，不吃不喝，连最爱的猫条都不吃。
4月9日就医，又拍片，血常规，和b超。血常规有异常医生说因为脱水，由于之前一直因为呕吐就医，所以b超也就着重看了胃，腹部。医生说未发现异物，但是胃壁增厚，还查了有没有幽门螺杆菌，因为最近我也有点胃痛，怕是人畜共患，也是没有的。因为严重脱水，然后医生就建议输液，其实就是输液营养液，葡萄糖。",2024-07-15 19:22:47,2024-07-15 19:22:47,0,0,0,0,0,PostImages/vkp2wgmzwomc74pnrrdr84fmvy0rb6cwi7qyvrffbtscp3eftuz42h0zls7h15mu.jpg
17,4,9,上海韩国街｜Manner新开宠物友好店,"原本的网红店Nine O Nine，没想到变成Manner了！
周末的下午居然没什么人
地址：闵行区金汇南路168号",2024-07-15 19:22:48,2024-07-15 19:22:48,0,0,0,0,0,PostImages/b0l3lcy7c2jlp9dusbj4oks1h58kjnenn6uzfj4vp0w3z3d0f1g78dkhwyvdmdqh.jpg
18,4,2,乌龟丢了怎么找？,"丢了两天的乌龟终于找到了
全家人出去喝完喜酒回来发现龟又不见了
以往每次越狱都一定是在电视柜地下 所以我们就没把它越狱当回事 但他这次学聪明了 不钻电视柜底了
所以这次把全家都找了个遍都没找到
连每个房间的床底还有杂物间都找了个遍
于是我今天还搞了次狠狠的大扫除
还上网搜了各种方法去尝试 也还是没找到
但是后来 我冷静下来站在乌龟的角度思考了一下
既然它每次越狱都是只钻进电视柜底 那它肯定就不会跑远的 应该还是在客厅里
然后再按照它以往越狱的路线去判断它的爬行路线
然后终于在客厅饭桌后面跟置物架之间的缝隙里发现了它",2024-07-15 19:22:49,2024-07-15 19:22:49,0,0,0,0,0,PostImages/vq5qvk47wezesh2mtmlomkmk03zb04j0k53ojjm58h8v7vc4kdc1k4l1l1zmvjaz.jpg
19,4,3,给俺家龟找个对象,"乌龟相亲大会
一号：强强，性别男，年龄10岁，母胎单身，性格高冷霸总，龟中帅哥，魔眼，金棕色外壳，尾巴大，黏人主动
二号：欢欢，性别男，年龄7岁，母胎单身，性格活泼开朗，已墨化，黑色外壳阳光型男，尾巴更大，稍微有点蠢",2024-07-15 19:22:50,2024-07-15 19:22:50,0,0,0,0,0,PostImages/jb0vpgjyzuhtp7drj298btyuom2carq1anpg2xa982wzje4pstir5wv97166q2j3.jpg
20,4,8,新手指南｜狗狗行为纠正训练,"狗狗就像小朋友，不知道自己的行为的正确性，从小进行科学的行为训练是非常重要的，能及时纠正一些长大后改不过来的不良习惯，让更好地融入你的生活~
狗狗的行为没有好坏之分，每个狗狗都有自己独特的天性，行为纠正有利于避免产生一些伤害他人的行为，也让狗狗能更快的适应社会化的生活
过程中要用科学的方式，耐心多做鼓励引导，不能单纯的指责打骂，让狗狗摸不清头脑不知道错在哪里，作为铲屎官一定要好好的引导哦
1.呲牙
现场制止，它意识这是错误的，结合口令用no或者不行制止，每次犯错先说口令，然后同时再拍狗狗，3~ 5次纠正后，狗狗会下意识停止动作
2.乱尿尿
在固定的位置放尿垫，吸引它在熟悉的地方尿，在错误位置口头训斥，再把狗带到正确的厕所处，告诉它在这里尿
3.咬人
及时纠正行为树立威信，教导正确的方式通过no或不行指令禁止行为，及时进行处罚
4.护食
护食是狗狗的天性，喂食前让狗狗坐定在放食物，慢慢触碰安抚他，最后把食物移走，如有愤怒护食，严厉制止说no，安静下来后再放食
5.乱叫
安抚狗狗缓解紧张情绪，方式玩具分散其注意力，若对生人乱叫发出警告制止它，摸摸它传递安全友善讯息",2024-07-15 19:22:51,2024-07-15 19:22:51,0,0,0,0,0,
21,5,1,求助帖！狗狗食欲排便都正常，但是没精神,"可乐从前天开始不爱动弹，不爱跑酷，也不爱拆家了！
8天前打了狂犬疫苗，6天前都是正常的，第七天一夜之间性情突然大变，由疯狂小狗变成文静小孩了。
但是食欲是正常的，排便也没有软便情况，愿意吃东西，就是不愿意动，嗜睡
有其他宝贝出现过相似情况的吗，计划今晚带他看看医生，但是心里真的没有底。",2024-07-15 19:22:52,2024-07-15 19:22:52,0,0,0,0,0,PostImages/q8ra1qnxev97dh1pii1fhdg5z19qwvbh7wn5foyrwfoiolimidjoi202p3l3p9az.jpg
22,5,8,新手养猫 一定要学会训练训练,"猫咪的社会化训练是一个帮助猫咪更好地适应人类生活环境、与人类和其他动物和谐相处的过程，以下是一些常见的方法和要点：
1.早期接触
让猫咪在幼年时就开始接触不同的人、声音、景象和气味。
但要注意避免过度刺激，以免造成猫咪的恐惧和压力。
2.适应人类接触
经常温柔地抚摸猫咪，包括头部、下巴、背部等，让它习惯人类的触摸。
抱起猫咪时要给予足够的支撑，让它感到安全。
3.习惯家庭声音
在家中播放不同音量和类型的声音，如电视、音乐、吸尘器等，帮助猫咪适应日常生活中的声音。
4.社交化与其他动物
如果条件允许，让猫咪与友好的狗狗或其他猫咪适当接触，但要在监督下进行，确保安全。
5.习惯外出
当猫咪足够大且疫苗接种完成后，可以使用猫包或牵引绳带它外出，先从安静的环境开始，逐渐增加外出的时间和范围。
6.训练基本指令
例如“过来”“坐下”等，可以使用奖励的方式，如小零食，来强化猫咪的正确反应。
7.提供丰富的环境
准备各种猫玩具、猫爬架等，让猫咪有足够的活动和探索空间。
每只猫咪都有自己独特的性格和反应，主人需要根据猫咪的个性和情况，灵活调整训练方法和进度。",2024-07-15 19:22:54,2024-07-15 19:22:54,0,0,0,0,0,
23,5,2,深圳龙华，有人丢了虎皮鹦鹉吗？,"2024年6月3日下午一点半左右，深圳4号线到【龙胜】和【上塘】之间时，车厢飞进来一只虎皮鹦鹉——雄性，没有脚环，很会飞。我捡到带去宠物医院寄养了，如果主人在找的话，请联系我！
且为防止误领，请主人找一下小鹦鹉之前的照片，好相认。
另外，因本人6月5日下午会离开深圳，所以在那之前无人联系的话，我就认养它啦",2024-07-15 19:22:55,2024-07-15 19:22:55,0,0,0,0,0,PostImages/augkgsefqdf9j2g8c6gdv01gkh7v31so10o741ql7mx9gwa9jzszzp7dldnu6dek.jpg
24,5,3,网上自拍照与现实不符 相亲又失败了,"一转眼虎虎都已经两岁多了 一直给它保留完整之身就是想给它的猫生圆满一下 找个猫猫对象，但是相亲了好几次都失败了
一见面就说照片与本喵不符 照片看着清纯可爱，怎么一见面就是油腻大叔了…
脸大脖子粗 腿短爱发疯 我这眼瞅着它年岁渐长，找对象这事必须提上日程了
刚好啊~天猫直播相亲又开始了 老母亲撮撮小手赶紧去围观
上次就被天猫本猫的气质迷的团团转 但是人家也是小男猫
你俩只能拜把子了~不过还有很多小母猫也会来相亲
说不定就有跟虎虎合适的 老母亲已经按耐不住  准备好了罐罐小鱼干当彩礼来迎接我未来儿媳啦~
各位姨姨们也快来上搜“非萌勿扰”预约直播帮虎虎选一选吧
有小猫的铲屎官也要一起来围观一下这猫界恋综啊，回看直播√带毛孩子开开眼界~
期待一下，评论区赶紧把你们家的帅猫美喵发出来 说不定缘分就来了呢~",2024-07-15 19:22:56,2024-07-15 19:22:56,0,0,0,0,0,PostImages/qts10nbpsibtfdmz1b5yw9vi2ky90ae37wvgt6v24go7dsuvd10wuqpyvvovm0co.jpg
25,5,7,刺猬喜欢吃什么？ 这些东西它都是吃的,"刺猬它是属于一种杂食动物，也属于一种野生小哺乳动物，在野外主要是以无脊椎动物和小脊椎动物以及草类、水果类、蔬菜类等植物所食用。野外的毛毛虫、瓢虫、小型甲壳虫、蜗牛、蟋蟀、蚯蚓、都可以用来喂食，刺猬都会吃。
刺猬是属于夜行动物，买回家喂养时傍晚前后去投喂饲料刺猬所吃的食物跟水即可，不是很麻烦。我们把刺猬家养它所吃的饲料，我们是可以去自己加工的，大部分都是以肉类下脚，粮食与买的副食品、青菜等刺猬喜欢吃的按比例去饲养。刺猬在肉类中最喜欢吃的是鸡肉，所以我们也可以直接喂养鸡肉更为便利。",2024-07-15 19:22:57,2024-07-15 19:22:57,0,0,0,0,0,
26,6,1,求助帖，爱猫人士或者是宠物医生大大帮帮忙,"我的猫4岁了，没打过疫苗，因为是收养的流浪猫，现在得了黄疸，现在全身发黄，尿是棕色的，只会少量进食。
可能去年也得过黄疸，我那段时间经常出差，室友有一朝没一朝的喂，我回来看到她吐了很多黄水，但是她自己挺过来，全程没治疗没强饲。
这段时间她生了小猫，小猫们乱拉乱尿，我就拿很便宜的那种洁厕灵打扫了猫住的屋子，昨天看她全身发黄，抖音搜了一下，脑袋都要炸掉了。
网上看的全是广告，这段时间又在脱产备考，根本没有钱去给她看病，求大大们告知下如何在少花钱的情况下救治。
好心人，如果你看到了不知道怎么帮忙请点个赞顶一下，谢谢各位了！",2024-07-15 19:22:58,2024-07-15 19:22:58,0,0,0,0,0,
27,6,4,用中文在背后嘴德国狗被骂了,"第一万次意识到中文不再是身在国外的加密语言
在阿伯丁吃Taste of HK，拐弯出来碰到一老大爷带着小腊肠路过
我和朋友落二位两步，跟在他们后面缓行
小腊肠极为腿短腰长，走起路来摇曳生姿
只是步履间逐渐逼近地面的肚皮真正显出了它的几分窘迫
紧跟在它身后的我们面露慈爱，发出指指点点的声音
“真是个地出溜”
“这可太地出溜了”
我们正为前面两位听不懂而暗自窃喜
殊不知老大爷和小腊肠将将拐进一家门店
刚还不动声色的小腊肠转身就撕下了自己和善的面具
隔着门店橱窗的玻璃对着我们破口大骂
它站起来骂、它眼球突出地骂、它口水四射地骂
老大爷和我们隔着玻璃各自露出尴尬的微笑
他为自家小狗莫名其妙的暴怒感到抱歉
但剩下的三个都对事实心知肚明
人可能会听不懂中文，但小狗一定可以",2024-07-15 19:22:59,2024-07-15 19:22:59,0,0,0,0,0,
28,6,2,狗狗跑丢后历经30小时找回来了！附寻狗方法,"我们从第一天下午丢狗的第一时间，马上疯狂发朋友quan+贴寻狗启示
到第二天查监控+疯狂派发有酬金的寻狗传单，
终于在第二天晚上，有人联系我们说他们收留了狗狗，看到了我们的传单，马上带回来给我们。
也就是30个小时内，狗狗终于被我们找到了！
敲重点：
立马寻找！
传播速度要快！
争取黄金时间！
多方法多人同时进行！
找狗狗的方法：
1.第一时间：查相关监控！有方向地寻找！地毯式找狗！边找边喊它名字！
2.马上疯狂转发朋友圈、发视频号、发dou音、发小红书！
3.马上联系周边宠物店留意（因为有人可能会抱狗狗去卖！或者收留了会去买狗粮和用品）！
4.马上打印寻狗启示，去疯狂发派，去贴！
Tips.一定要争取黄金时间，
丢失的第一时间马上寻找+发朋友圈发平台+联系宠物店+派传单贴启示 4个同步进行！！
把握每一条线索去找！！
建议大家可以给狗狗配个定位器，以防万一！
希望每一个跑丢的宝贝都不会在外面受苦，都可以快点平安健康回到我们身边！",2024-07-15 19:23:00,2024-07-15 19:23:00,0,0,0,0,0,
29,6,3,家有一儿，诚邀杭州本地美女相亲！,"家里的宝宝十个月啦！想生一只留着陪伴！
留个宝宝就绝掉去！我家崽子超可爱性子超好！
希望金渐层妹妹看过来！
坐标杭州萧山区！
希望妹妹来我家里呆！
会对宝宝很好！
鸡胸肉 冻干 罐头不在话下！
脾气好的妹妹看过来！
评论区姐妹留下照片好嘛！",2024-07-15 19:23:02,2024-07-15 19:23:02,0,0,0,0,0,PostImages/t1r7qpo3o4qura9i5ayrp31atb9hgv47qlpgyc5x3k6dqgqzrr3je4r1fnyl2s78.jpg
30,6,4,分享《狗狗800个心眼子的趣事》,"养狗狗两周了，有时候视频拍不出它的好玩，因为讲述的不够完整，也不及时。
1.狗狗贪吃的趣事
柴可和其它的小狗狗一样，特别贪吃。比如一听到塑料袋的声音，它很快就会出现在你身边。我和柴可爸爸经常在沙发上看电视，有一次嗑瓜子，它想吃，但是我没给它吃，考虑它太小，怕乱吃刺激肠胃。它一直在我们身边转圈圈讨吃的，忽然它就进屋子去了。
我当时想着终于识趣了，但我又觉得不太对劲，不像它风格，就进卧室叫他，看见他趴在地上，旁边就瓜子壳，原来偷了瓜子。
这是其中一次偷吃被抓到了。当然它还有翻垃圾桶，吃花椒、柚子被抓到的时候，它总是偷溜到客厅，一听我叫他，它就会飞机耳，小腿蹬蹬地养卧室跑，到了自己的狗窝里，又当作什么事都没发生。
小狗狗很爱瞎吃东西，所以弄的我特别谨慎，稍微它不见了，我就会到处喊，下意识抠它嘴巴，必定会有点收获，它就是快乐的负担。
2.狗狗训练的趣事
柴可爸爸最近已经让柴可学会了趴下，我每次看到就会说又被骗了多少吃的。比如训练它捡球，有时候球丢出去，它也跑出去了，但是球也不捡，就回来讨吃的。",2024-07-15 19:23:04,2024-07-15 19:23:04,0,0,0,0,0,
31,7,4,小猫：妈妈你个人机,"猫猫洗澡后大变样
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈",2024-07-15 19:23:07,2024-07-15 19:23:07,0,0,0,0,0,PostImages/9xh5dgx27wyultxx6gcmpjp7mi1pvmiwmvrfci93g72y58wdmkhxb68a9lzic35a.jpg
32,7,6,狗狗身上有异味的处理方法,"定期清洁狗狗的居住环境：保持狗狗的生活空间清洁和干燥，定期清洗狗狗的床垫、玩具和食具等物品，以减少细菌和异味的滋生。
饮食管理：注意狗狗的饮食健康，避免喂食过于油腻或难以消化的食物，以免加重口腔异味。同时，保持狗狗充足的水分摄入也很重要。
定期带狗狗去看兽医：如果狗狗身上的异味问题持续存在，且无法通过日常清洁得到改善，建议带狗狗去看兽医。兽医可以检查是否有皮肤病、口腔疾病等潜在问题，并给予相应的治疗建议。",2024-07-15 19:23:08,2024-07-15 19:23:08,0,0,0,0,0,
33,7,5,信我！有狗的都去买！嗅闻书yyds,"家人们这个嗅闻书太可爱了！
这玩具太省铲屎官了！
每次拿出来狗子都能忙活半天",2024-07-15 19:23:09,2024-07-15 19:23:09,0,0,0,0,0,PostImages/ky2h373hzymmkqcu8xrdqnxlsxhxa1amhp0mpv6hsg60pk2ix0gcjw3oq3dyelrs.jpg
